id	filename	md5	size	state
cb4ee6d3-8e15-4209-9b80-ff2ac3b97f7b	9e365ec7-4d96-460d-9fed-928f05507fbe.mirbase21.mirnas.quantification.txt	6310241f8ccf8e738b8c19fead373b21	50324	released
c6e4e020-dbe8-4e35-a198-b5e7c5483277	5a106e0a-0c33-46ba-abdd-68fb76b4567b.mirbase21.mirnas.quantification.txt	945bf737d6c6f59de372eeb6b5e29658	50230	released
419ef164-1ce1-4fca-ac2a-c25cf18d781a	11820238-6b3f-429b-b84a-3e6859edb184.mirbase21.mirnas.quantification.txt	4369b967897a74ebc68f2e2849218968	50082	released
fe6096b0-5c9e-4aa4-85c6-a4d3420d95e0	c509bc64-ea7a-4f8a-957c-66539d086536.mirbase21.mirnas.quantification.txt	b4acd7c657f02f40d24eba4a566419ff	50063	released
07ff7aa3-a3be-44c0-89d8-c67a0dedcc72	e496cc70-7510-41d9-9f9b-d054ff7332dc.mirbase21.mirnas.quantification.txt	c6f256038f438cad1250fc4d2321371e	50239	released
f0c94748-968a-4308-a95f-aaec4b5051c0	014ac73d-9fdb-43f9-8495-8dab01f24859.mirbase21.mirnas.quantification.txt	cc75dbb5b0096a256bd0d89f771363da	50130	released
2db0a3fd-2399-4bfb-b676-2b19c197f391	a6d451b4-086a-446b-9048-11ececd8ba66.mirbase21.mirnas.quantification.txt	e9845a671254e0afabedb5368d57e97b	50150	released
b9bb9e55-ac52-4966-8dfa-879cefbc2cb2	52829b22-1c4e-4874-8062-51ed7bb1b997.mirbase21.mirnas.quantification.txt	f0c4d8baec472fd40506990e0825925f	50209	released
b7b6e492-59b0-45f5-aaff-051c2cab5ee8	7a75d4b8-c369-4108-a721-c6903482fe71.mirbase21.mirnas.quantification.txt	362fd634a73003326fafe1938cac9685	50152	released
a6996338-7dab-4816-898a-a20430141131	0ba140b1-a028-46ee-8d80-ec4795274fe8.mirbase21.mirnas.quantification.txt	9e12e8e020d417a095ecbc874b45ab34	50484	released
56dc7cfa-903d-413b-84f8-12a3279889cd	9ebc0671-ee66-44b7-8361-6b62886b5d6a.mirbase21.mirnas.quantification.txt	ab72544385819accf9a709a2636e9a6a	50106	released
9c322d05-b8a2-43cf-a25e-7e90cf8e85fc	394d3409-2498-4498-a45b-b36ca401eb17.mirbase21.mirnas.quantification.txt	53c3e9f2e1c837bf7c6965926dafb782	50129	released
84f42bf5-32e7-4100-9297-87957839e9e3	4f569ea7-92d9-4a29-9f0e-8a5bfbdd717f.mirbase21.mirnas.quantification.txt	c12a18ca467fa411d84f8c2ab5cfdc1a	50313	released
16900217-2566-44d5-ab69-da58011b9f8a	44022d72-6b45-4ad5-85c5-927df181405d.mirbase21.mirnas.quantification.txt	5127143f2e76b94636b33c30d977a35d	50217	released
